description,domain,sub_domain
"Endocrinology in the Medical domain is the study of how human reproduction responds to the effects of external influences, including external influences such as inherited genetic traits and environmental factors.",Medical,Endocrinology
"In the United States, Oncology is a branch of medicine and is the primary focus of its academic specialty.",Medical,Oncology
Neurology is the study of how the brain functions and acts on the nervous system.,Medical,Neurology
Cardiology is a medical field in which the function of the heart and the nervous system is important.,Medical,Cardiology
"Radiology is the science of medicine, or the practice of medical science, that is the study of the structure and function of the body and the properties of organs.",Medical,Radiology
"Dermatology (M) is the study of the body and its organs. Dermatology is an area of medicine focusing on a broad range of diseases and conditions, as well as the physical features of the human body. Dermatology is an important field in medicine, which focuses on the medical sciences, as well as medicine. Dermatology is part of the department of dermatology in the Royal College of Physicians in London.",Medical,Dermatology
"Plastic Surgery is the operation of surgical procedures which include breast surgery, breast reconstruction, and adolescent plastic surgery.",Medical,Plastic Surgery
"Emergency Medicine in the Medical domain (EDM) is an emerging field of medicine, which has emerged in recent years through the development of e-medicine.",Medical,Emergency Medicine
Pathology is the study of pathological diseases.,Medical,Pathology
"Radiology is the study of the structure and function of the surface area, the physical properties of a substance, and the chemical reaction of the material with a particular object or medium.",Medical,Radiology
"Dermatology is the study of skin and hair, and is one of the branches of medicine in the Medical Sciences.",Medical,Dermatology
Infectious Diseases in the Medical Domain: A Guide to Symptoms and Causes of Infections.,Medical,Infectious Diseases
"Cardiology is the study of the circulatory system of the heart, vascular organs and systems of the brain.",Medical,Cardiology
Cardiology is a medical discipline involving the physical and chemical examination of blood vessels.,Medical,Cardiology
Infectious Diseases in the Medical Domain: A Review of Infectious Diseases in the medical domain.,Medical,Infectious Diseases
Acute kidney failure is a symptom of renal failure and can be treated with kidney transplantation.,Medical,Nephrology
"In general, internal medicine is defined as:",Medical,Internal Medicine
A randomized clinical trial of infectious diseases in the medical domain evaluating the efficacy of vaccines against infectious diseases.,Medical,Infectious Diseases
"Endocrinology is the scientific study of the regulation of endocrinogens, including the synthesis and regulation of endocrinogens.",Medical,Endocrinology
"The World Health Organization (WHO) said on December 2, 2015, that, despite the growing population of emergency physicians, there is no evidence that this is true. In 2013, the Centers for Disease Control and Prevention released a re-review of emergency medicine.",Medical,Emergency Medicine
The word 'oncology' comes from the Greek words for 'destroyer' and 'suffering'.,Medical,Oncology
"Endocrinology is the study of endocrinology and the role of hormones and metabolites in human metabolism. Endocrinology is concerned with the relationship between hormones and metabolites, as well as their interactions with human and animal metabolism.",Medical,Endocrinology
Infectious Diseases in the Medical domain,Medical,Infectious Diseases
"Radiology is the study of a range of medical topics including diseases, illnesses, and disorders.",Medical,Radiology
Nephrology is a branch of medicine which is associated with a wide range of conditions including kidney failure and kidney transplantation.,Medical,Nephrology
Endocrinology is a branch of medicine in which many diseases are found in the brain.,Medical,Endocrinology
"Endocrinology in the Medical domain is a science that studies the function of the nervous system, and the regulation of endocrinogenes.",Medical,Endocrinology
Infectious Diseases in the Medical Domain is the first book in the medical science and science of infectious disease.,Medical,Infectious Diseases
Anesthesiology is the study of anesthesia and physiology in the medical and scientific fields.,Medical,Anesthesiology
"Dermatology is the study of skin, hair and organs. Dermatology encompasses most of the study of skin and organs.",Medical,Dermatology
This is a list of the medical and scientific disciplines related to infectious disease.,Medical,Infectious Diseases
"Cardiology is the discipline of cardiology, a medical branch of medicine, based in London.",Medical,Cardiology
Reproductive Medicine is a discipline that deals with reproductive organs.,Medical,Reproductive Medicine
Oncology is a scientific discipline that deals with the diagnosis and treatment of cancer.,Medical,Oncology
Nephrology is a discipline that focuses on the treatment of kidney diseases.,Medical,Nephrology
"Oncology is a medical domain, which includes the diagnosis and treatment of cancers, and cancer therapy.",Medical,Oncology
"Hematology is the study of the etiology of hepatitis A, the most common cause of pneumonia and other serious illnesses.",Medical,Hematology
General surgery is the operation of removing or discarding the body's waste or toxins in order to achieve an ideal physical and medical result.,Medical,General Surgery
Reproductive medicine in the medical domain refers to:,Medical,Reproductive Medicine
"Infectious Diseases in the Medical Domain is a sub-field of medicine that encompasses the areas of pathology, pathophysiology, biomedicine, and the pathology field.",Medical,Infectious Diseases
Radiology is a field that has evolved over many centuries and is still considered one of the fastest-growing fields in medicine.,Medical,Radiology
"Neurology is the medical science of treating disease, in part because it relates to the physical and cognitive aspects of life.",Medical,Neurology
"Cardiology is a discipline that deals with a broad range of medical disciplines, including cardiology, pathology, and surgery.",Medical,Cardiology
Endocrinology is the study of cell endocrine activity. It includes cell biology and endocrinology.,Medical,Endocrinology
Dermatology is the study of how the skin of a person can be treated. Dermatology is the study of how skin is treated.,Medical,Dermatology
Nephrology relates to kidney function in the body.,Medical,Nephrology
"Plastic surgery refers to a medical treatment of skin and organ damage caused by abnormal growth of breast cells, which may include breast growth and uterine dysfunction, or abnormal development of breast tissue.",Medical,Plastic Surgery
"Cardiology is a field of medicine primarily concerned with the prevention, diagnosis and treatment of disease and disorders of heart, lung and vascular systems. Cardiology is also a medical discipline of medicine, including cardiology, pathology, radiology, medicine, and pathology.",Medical,Cardiology
Oncology is the study of diseases related to cancer.,Medical,Oncology
This is the study of internal medicine.,Medical,Internal Medicine
Pediatrics in the Medical domain.,Medical,Pediatrics
"The Internal Medicine field is the medical domain of medicine, where science and medicine are a combined field.",Medical,Internal Medicine
Internal Medicine is the medical field of medicine in which it is a central part of medicine.,Medical,Internal Medicine
Radiology in the Medical domain is a branch of medicine and is the scientific discipline in which the study of medicine is concerned.,Medical,Radiology
"The field of radiology involves the study of the physical, chemical and biological properties of substances, especially minerals and ions.",Medical,Radiology
Infectious Diseases in the Medical domain This is a list of diseases and illnesses that occur in the medical environment.,Medical,Infectious Diseases
"Dermatology is a branch of medicine in the medical field, based on the scientific basis of dermatology.",Medical,Dermatology
Pediatrics is a medical specialty in the United States.,Medical,Pediatrics
Immature and traumatic injuries.,Medical,Internal Medicine
General surgery is a type of medicine in which the removal and treatment of disease is defined as removing the organisms and animals in the human body.,Medical,General Surgery
"Anesthesiology is the study of tissue and organs, especially the spleen, and tissues of the heart, stomach, kidneys, urinary tract, renal and reproductive organs.",Medical,Anesthesiology
Infectious Diseases in the Medical domain is the sub-field of medicine.,Medical,Infectious Diseases
Anesthetics is a medical specialty in the medical field.,Medical,Anesthesiology
Reproductive Medicine is a medical domain whose focuses are in the prevention of sexually transmitted diseases and on reproductive health.,Medical,Reproductive Medicine
Nephrology is a branch of medicine. It encompasses all types of kidney failure and the diagnosis and treatment of renal failure.,Medical,Nephrology
Anesthesiology is the medical discipline of anatomy and gynecology.,Medical,Anesthesiology
"Anesthesiology is the study of the treatment of diseases of the gastrointestinal tract or the body's anatomy, which may include:",Medical,Anesthesiology
"Orthopedics in the medical domain, also known as podiatry, is an specialised field of medicine in which doctors practice various disciplines of medicine.",Medical,Orthopedics
"Pathology is the study of the physical, chemical and biological properties of living tissue. It covers the pathophysiology, biochemistry, molecular biology, pathology, pathology and microbiology.",Medical,Pathology
Radiology is the study of how radiation affects human health.,Medical,Radiology
Orthopedics is a branch of medicine in the human body that deals with the physical and cognitive aspects of a body.,Medical,Orthopedics
Reproductive medicine is the medical field of reproductive health.,Medical,Reproductive Medicine
"Internal medicine is a medical discipline focusing on the diagnosis, prevention, and treatment of diseases, such as diabetes, heart failure, heart disease, lung disease, and cancer.",Medical,Internal Medicine
Plastic surgery is a medical science of surgery that combines medicine with surgery.,Medical,Plastic Surgery
Emergency Medicine: An Introduction,Medical,Emergency Medicine
"Plastic surgery is a medical procedure for the treatment of smallpox, and is a medical specialty in the United States.",Medical,Plastic Surgery
Emergency Medicine in the Medical Domain is the medical discipline of emergency medicine.,Medical,Emergency Medicine
"In this article, we introduce the internal medicine of the pharmacological field.",Medical,Internal Medicine
I.M. is a subfield of Internal Medicine that includes esoteric medicine and pathology.,Medical,Internal Medicine
Cardiology in the Medical domain is a field of medicine involving cardiovascular disease and cardiorespiratory disease.,Medical,Cardiology
"The Orthopedics of the Medical Domain (or MEDD) was created by William W. Doughty, in 1850.",Medical,Orthopedics
"Internal medicine is a broad medical field which encompasses a variety of fields, including pharmacology, pathophysiology, urology, biotechnology, and dentistry.",Medical,Internal Medicine
"General Surgery is the treatment of surgery, which is not a specialized or general medical practice.",Medical,General Surgery
Oncology in the Medical domain is the study of diseases and their causes.,Medical,Oncology
"Anesthesiology is the study of medical disorders, such as the development of a disease, and the development of new disease.",Medical,Anesthesiology
Dermatology is the study of disease and skin diseases.,Medical,Dermatology
"Plastic Surgery is a specialized medical discipline that deals with the treatment of breast or cervical cancer, which has been around for a long time.",Medical,Plastic Surgery
"Neurology is a field of medicine devoted to the study of disease, especially in the brain.",Medical,Neurology
Hematology is the study of blood vessels that connect cells in the body to form new tissues and organs.,Medical,Hematology
General Surgery is a discipline in medicine that focuses on the management of medical conditions in the general population.,Medical,General Surgery
"Cardiology is the practice of working with an organ or tissue to perform a particular cardiovascular activity, such as heart beat, lung function, and thoracic organ function.",Medical,Cardiology
Anesthesiology is the medical discipline of surgery in which a surgeon examines an entire body and performs anesthesia on the patient.,Medical,Anesthesiology
Emergency Medicine in the Medical domain:,Medical,Emergency Medicine
Neurology is the study of neurological conditions.,Medical,Neurology
"Pediatrics in the Medical domain is the scientific discipline of medicine, especially pediatrics.",Medical,Pediatrics
"Pediatrics is the scientific discipline of medicine, focusing on medical science and education, especially in children.",Medical,Pediatrics
Reproductive medicine is a medical field that deals with the treatment of biological disorders such as abortion and prochloroma.,Medical,Reproductive Medicine
Neurology is the study of how nerves function and why they perform.,Medical,Neurology
"Dermatology is the scientific study of how skin cells contract, repair, and heal.",Medical,Dermatology
Oncology is the study of how cells divide.,Medical,Oncology
Radiology in the Medical domain is an area in which radiology has a significant role.,Medical,Radiology
Emergency medicine is a subfield of medical science.,Medical,Emergency Medicine
Pediatrics is the scientific discipline of medicine.,Medical,Pediatrics
Internal medicine is a field of medical science that deals with internal diseases.,Medical,Internal Medicine
Infectious diseases in the medical domain are:,Medical,Infectious Diseases
Infectious Diseases in the Medical domain.,Medical,Infectious Diseases
Neurology is the study of disease or disorders in the nervous system.,Medical,Neurology
"Neurology - is a discipline in medicine. Neurology, or Neuroscience, is a discipline in which the medical field is concerned with human behavior and emotion.",Medical,Neurology
"Orthopedics is a discipline in medicine. It is concerned with a wide range of conditions and disorders, such as chronic disease, underlying injuries, arthritis, and chronic diseases.",Medical,Orthopedics
Surgical techniques are commonly performed by surgeons.,Medical,General Surgery
"Cardiology is the study of blood pressure, heart rate and vascular disease.",Medical,Cardiology
Plastic surgery is the surgery done to remove a part of the body that is damaged or discoloured.,Medical,Plastic Surgery
"Reproductive medicine is a medical specialty of the United States, and is a field that deals with the development and maintenance of reproductive organs.",Medical,Reproductive Medicine
"Emergency medicine is a medical discipline, particularly in the United States and Canada, and is concerned with the prevention and treatment of serious life-threatening situations, such as an emergency or critical care emergency.",Medical,Emergency Medicine
"Dermatology is an area of medicine that encompasses the entire spectrum of medical and surgical treatments for the skin. Dermatologists are involved in many major fields of medicine including a range of physical, psychological, and clinical issues such as aesthetic, pharmacologic, and pathological.",Medical,Dermatology
Reproductive medicine refers to:,Medical,Reproductive Medicine
Pathology involves the study of disease or organ systems and diseases in the human body.,Medical,Pathology
"Cardiology is the medical discipline, specifically cardiology, which encompasses the medical practice of cardiology.",Medical,Cardiology
Radiology is a discipline in the medical field.,Medical,Radiology
"Internal Medicine is the medical discipline containing the disciplines of medicine, surgery, and surgery.",Medical,Internal Medicine
Molecular biology of oncology provides a basis for the development of new medicine and new treatments.,Medical,Oncology
"Anesthesiology is an area of medicine that deals with the diagnosis, treatment and prevention of diseases and conditions of the gastrointestinal system, especially of abdominal and pelvic cancer. Anesthesiology has been defined as:",Medical,Anesthesiology
"Emergency medicine is a branch of medicine that focuses on the treatment of people who are critically ill, such as alcoholics, addicts, and patients with developmental disabilities.",Medical,Emergency Medicine
Endocrinology is a field of medicine that deals with the study of endocrinology.,Medical,Endocrinology
Medical emergency medicine is a branch of emergency medicine that focuses on the management and treatment of serious and life-threatening diseases.,Medical,Emergency Medicine
"Neurology is a field that deals with neurological diseases, including neuroendocrine disorders, perinatal depression and infant mortality.",Medical,Neurology
General Surgery (Medical) is a medical discipline that deals with the treatment of a variety of diseases.,Medical,General Surgery
Infectious Diseases in the Medical domain:,Medical,Infectious Diseases
This class is divided into two groups:,Medical,Oncology
Hematology is the scientific study of the diagnosis and treatment of hematological diseases.,Medical,Hematology
Endocrinology is the study of endocrinology. It is the branch of medicine that deals with the resurgence of endocrinology.,Medical,Endocrinology
Reproductive medicine in the medical domain refers to the treatment of sexually transmitted diseases.,Medical,Reproductive Medicine
"Internal Medicine is the medical field that deals with a broad range of illnesses and conditions. It has been used in medicine, surgery, pathology, physiotherapy and surgery since the 1930s.",Medical,Internal Medicine
Hematology in the Medical domain is the study of the organs that compose the body.,Medical,Hematology
Pathology focuses on the study of disease and related pathophysiology.,Medical,Pathology
Reproductive medicine is a field in which men and women are both gendered.,Medical,Reproductive Medicine
"Hematology is a science of medicine which describes the diagnosis and treatment of diseases, such as cancer, hepatitis, heart disease, blood disorders, tumors, tumor growth, and melanoma.",Medical,Hematology
"Anesthesiology is the study of a medical condition, including the diagnosis and treatment of disease, or to diagnose an individual or an entity. Anesthesiology is defined as:",Medical,Anesthesiology
Neurology is the study of the nervous system.,Medical,Neurology
"Orthopedics (or , in medical), is a broad term which covers all the medical fields, including the physical, medical, and sports.",Medical,Orthopedics
Neurology is a field of medicine that deals with the study of neurological diseases.,Medical,Neurology
"Anesthesiology is the study of the endocrine system, which includes the respiratory system, heart and gall bladder.",Medical,Anesthesiology
"Dermatology is the study of skin, hair and other organs.",Medical,Dermatology
"Reproductive Medicine is the field of medicine, mainly focusing on reproductive health.",Medical,Reproductive Medicine
Endocrinology is the study of the relationship between the cells of the human body and their environment.,Medical,Endocrinology
Hematology is a scientific discipline in which the study of hepatocytes is largely concerned with detecting abnormalities in the cells of a particular type of organism.,Medical,Hematology
"Dermatology is a discipline that includes a wide range of medical disciplines, such as dermatology, dermatology surgery, pathology, and pathology. Dermatologists are renowned for their knowledge and skill in treating skin diseases, wounds, or other disorders of the body, which include acne and scarring.",Medical,Dermatology
Hematology is the study of the regulation of diseases and their effects on the human body.,Medical,Hematology
Infectious Diseases in the Medical domain is the subdiscipline of pathology and diagnostic testing.,Medical,Infectious Diseases
"Hematology is the study of how a cell divides and stops from producing any specific cells, as well as their cellular organelles.",Medical,Hematology
Emergency Medicine (EDM) is the main branch of medicine in medicine.,Medical,Emergency Medicine
"Oncology is a medical domain that includes the study of the physical, chemical and biological properties of cancer.",Medical,Oncology
Pediatrics in the Medical domain is the study of children and adolescents.,Medical,Pediatrics
Endocrinology is the study of endocrinology and medicine.,Medical,Endocrinology
Dermatology has a significant role in medicine and health. Dermatology is the study of the medical and pharmacological properties of the skin and underlying tissue. Dermatologists have traditionally focused on the treatment of skin conditions.,Medical,Dermatology
Emergency Medicine in the Medical domain is a medical specialty.,Medical,Emergency Medicine
"Dermatology is a branch of medicine in the medical sciences, which encompasses the areas of pathology, dermatology and surgery. Dermatology has been in use for almost a century, and it has become a key part of the American Medical Association's scientific community.",Medical,Dermatology
Radiology in the Medical domain:,Medical,Radiology
"Emergency Medicine is a medical discipline in which medical professionals treat people with acute, chronic and emergency medical conditions.",Medical,Emergency Medicine
"In medicine, internal medicine is the medical branch of medicine.",Medical,Internal Medicine
"Emergency medicine is the scientific specialty of medicine, especially in medical settings where it can be applied to many types of health conditions.",Medical,Emergency Medicine
Endocrinology is the study of the cellular and molecular pathways that control the growth and development of new cell lines.,Medical,Endocrinology
Endocrinology is the study of the endocrinology of an organism or organism.,Medical,Endocrinology
Children and adolescents are the most common subgroups of children in the world.,Medical,Pediatrics
"Pediatrics is the medical field that encompasses the whole spectrum of the human lifespan, a branch of which includes geriatrics, obstetrics, pediatrics, neonatal care and reproductive health.",Medical,Pediatrics
Emergency medicine refers to the medical field of medicine.,Medical,Emergency Medicine
Pediatrics is a medical discipline in which the primary focus is the health of children and adolescents.,Medical,Pediatrics
Internal medicine is the practice of treating the internal health of people.,Medical,Internal Medicine
Dermatology is the medical branch of medicine.,Medical,Dermatology
Pediatrics is a branch of medicine that focuses on the diagnosis and treatment of diseases and conditions.,Medical,Pediatrics
"The American College of Obstetricians and Gynecologists publishes a textbook on the topic of pediatrics, which is the first textbook in the field of obstetrics and gynaecology.",Medical,Pediatrics
Infectious diseases are defined as:,Medical,Infectious Diseases
Pathology is the study of the pathology of diseases and disorders.,Medical,Pathology
"Reproductive medicine is a medical discipline encompassing a broad spectrum of medical disciplines and a broad range of clinical, scientific, and research areas.",Medical,Reproductive Medicine
Neurology is the study of neurological diseases.,Medical,Neurology
Hematology is the study of the development and treatment of human disease.,Medical,Hematology
"In the medical domain, a molecular biology is the study of a disease that causes a tumor to grow.",Medical,Oncology
Anesthesiology in the Medical domain is the study of an organism or a particular human being.,Medical,Anesthesiology
"Dermatology is the study of the disease or condition of the skin or skin cells, which occurs in humans and animals.",Medical,Dermatology
"General surgery is a medical discipline that encompasses the treatment of diseases or conditions of a body, especially diseases of the ear and throat, as well as other organs and tissues.",Medical,General Surgery
Anesthesiology (disambiguation) is the discipline of medical science that deals with a wide variety of diseases.,Medical,Anesthesiology
Internal medicine is a field in medicine involving the physical sciences.,Medical,Internal Medicine
General surgery is the study of surgery and vascular disease in the peri-operative period.,Medical,General Surgery
Radiology is a medical field of medicine.,Medical,Radiology
"Nephrology is an activity in which the kidneys are pumped into a blood vessel, and are monitored. Nephrologists generally use a catheter to inject the urine, which is normally injected into the blood supply.",Medical,Nephrology
Reproductive Medicine is a term in medicine that describes the use of reproduction and abortion for reproduction.,Medical,Reproductive Medicine
"Orthopedics is the practice of assisting the body with a variety of physical, skeletal and cognitive actions.",Medical,Orthopedics
"Plastic Surgery is the medical field of medicine in which surgery is the practice of the surgical procedure of reshaping or reconstructing body parts, usually in a chirurgical manner.",Medical,Plastic Surgery
Internal medicine is the study of internal organs and tissues in an individual.,Medical,Internal Medicine
Emergency medicine is a medical discipline in which the patient’s medical condition and treatment is generally considered to be a critical health problem.,Medical,Emergency Medicine
"Oncology in the Medical domain (OCT) is the field of medicine in which doctors use techniques and medical concepts to treat diseases, and to treat conditions such as cancer.",Medical,Oncology
"The term ""oncology"" refers to the study of cancer in the medical field.",Medical,Oncology
"Plastic Surgery is a term used for surgeries, and is considered to be the only medical practice that applies to the physical and psychological aspects of facial rejuvenation.",Medical,Plastic Surgery
Plastic Surgery is the practice of surgical procedures in which a patient undergoes surgery to reconstruct the body.,Medical,Plastic Surgery
Radiology is the study of how the body reacts to different types of radiation.,Medical,Radiology
"Nephrology is the study of kidney function, and the use of kidney transplantation.",Medical,Nephrology
Amputations are performed in the shoulder or arm.,Medical,Orthopedics
"Cardiology is a branch of medicine in which the heart and arteries are involved in a network of structures – the heart and lungs, the heart – and the lungs.",Medical,Cardiology
Hematology in the Medical domain.,Medical,Hematology
Orthopedics (disambiguation) Orthopedics is a subfield of medicine.,Medical,Orthopedics
The AAIB is the European Institute for Health Research. Its founding in 1946 was a federation of seven scientific groups in both the American and European sciences.,Medical,Infectious Diseases
Dermatology is the study of skin and hair. Dermatology is often applied to skin and hair transplantation and rheumatoid arthritis.,Medical,Dermatology
Orthopedics in the Medical domain – is a medical field which involves physical therapy and surgery.,Medical,Orthopedics
Internal Medicine is the medical specialty of medicine.,Medical,Internal Medicine
General surgery is the examination of the body of a person's upper body in order to examine the general functioning of the organs in the body.,Medical,General Surgery
"Emergency medicine refers to the diagnosis, treatment, and management of emergency situations.",Medical,Emergency Medicine
Plastic surgery has become a very popular surgical procedure in the past.,Medical,Plastic Surgery
"Anesthesiology is the study of the physical and chemical properties of the body, especially skeletal and muscular joints.",Medical,Anesthesiology
"Oncology is the study of cancer, and is the specialty of physicians.",Medical,Oncology
Infectious Diseases in the Medical domain is the medical field of infectious disease.,Medical,Infectious Diseases
Internal medicine is the study of medicine and its application in the practice of medicine.,Medical,Internal Medicine
Anesthesiology in the Medical domain encompasses:,Medical,Anesthesiology
Endocrinology is the study of endocrinology in the medical domain.,Medical,Endocrinology
"Plastic Surgery is the practice of surgically removing the body's most advanced form of tissue, called fat.",Medical,Plastic Surgery
Radiology is the scientific study of radiologically characterized diseases.,Medical,Radiology
IMM is the broadest category of medicine that has been classified by the World Health Organization (WHO) as one of the top 10 medical specialties in the world.,Medical,Internal Medicine
"Pediatrics (Doctoral) is the field of medicine in which doctors are trained to diagnose and treat conditions of the skeletal system, to treat diseases such as the heart, kidneys, lungs, liver, and gastrointestinal tract.",Medical,Pediatrics
Nephrology () is the medical profession in which the kidneys are located.,Medical,Nephrology
"Endocrinology is the study of endocrinology of the genus ""Endocrinology"".",Medical,Endocrinology
Pediatrics is the medical discipline in which the general medical and scientific fields of medicine are concerned.,Medical,Pediatrics
"Neurology is the study of the nervous system, which consists of neurons and is characterized by anatomical structures that are incomprehensible and complex.",Medical,Neurology
"Orthopedics is the study of the anatomy and function of bones, ligaments and joints.",Medical,Orthopedics
Neurology is the study of neurology in the medical domain.,Medical,Neurology
"Radiology is the study of radiation, which is used in medicine to identify and treat diseases and conditions.",Medical,Radiology
Hematology is a science of the diagnosis and treatment of diseases and disorders.,Medical,Hematology
"Internal Medicine is a branch of medicine which is a sub-field of medicine, which includes the field of medicine in all spheres of science.",Medical,Internal Medicine
"Dermatology is a field of medicine that deals with the skin and skin and other parts of the body, such as hair, skin cells and organs. Dermatology is highly regarded by doctors as a medical specialty.",Medical,Dermatology
"Infectious Diseases in the Medical Domain is an encyclopedia of infectious diseases published by The Elsevier Press in 1998. It covers topics related to infectious diseases, including TB, infectious disease, and infectious disease epidemiology.",Medical,Infectious Diseases
Plastic Surgery is the treatment of cosmetic surgery.,Medical,Plastic Surgery
"Oncology is a discipline of medicine and is mainly concerned with the diagnosis, treatment, prevention, and treatment of diseases, disorders, and infections.",Medical,Oncology
"Plastic surgery is the surgical treatment of body tissue, often restraining the appearance and appearance of the skin.",Medical,Plastic Surgery
Neurology is the study of neuropsychiatric disorders.,Medical,Neurology
"Reproductive Medicine is a field that focuses on the management of reproductive health disorders, as well as the treatment of conditions affecting fertility and the maintenance of sperm. It relates to:",Medical,Reproductive Medicine
Pathology is the study of pathology in the medical field.,Medical,Pathology
Anesthetics is the study of a specific symptom or condition of an organism or animal.,Medical,Anesthesiology
Infectious Diseases is the primary clinical subset of the field of pathology.,Medical,Infectious Diseases
"Orthopedics is a medical discipline in which the feet, legs and arms are the primary body parts.",Medical,Orthopedics
Cardiology is the field of medicine that encompasses all cardiology.,Medical,Cardiology
Plastic Surgery is a medical field that deals with the surgical treatment of facial injuries and is especially important for those suffering from cleft palate.,Medical,Plastic Surgery
Emergency Medicine is a subfield of medicine in which the term emergency medicine refers to a medical discipline.,Medical,Emergency Medicine
"Orthopedics in the Medical domain is the study of physical, neurological, or muscular problems in a particular body part or organ.",Medical,Orthopedics
"Dermatology is the study of skin, hair and hair follicles. Dermatologists specialize in the diagnosis and treatment of diseases of the body and hair.",Medical,Dermatology
Endocrinology is the study of endogenous growth in humans. Endogenous growth occurs when a person is either unborn or young.,Medical,Endocrinology
General Surgery in the Medical domain is a subset of surgery.,Medical,General Surgery
Infectious Diseases in the Medical domain is a subfield of medicine.,Medical,Infectious Diseases
"Reproductive Medicine is the scientific, medical and economic field of reproductive medicine.",Medical,Reproductive Medicine
Orthopedics is the treatment of injuries and disorders in the physical and neurological field of medicine.,Medical,Orthopedics
"Endocrinology is the study of the function and regulation of endocrinocytes, or the organisms they carry around.",Medical,Endocrinology
"Pathology is the study of pathology, and also includes other fields in medicine.",Medical,Pathology
"In medicine, internal medicine is a branch of medical science that deals with the physical body.",Medical,Internal Medicine
Anesthesiology is a medical specialty that deals with the treatment of minor injuries and disorders of the abdomen.,Medical,Anesthesiology
The obliteration of the blood vessels is a form of internal medicine.,Medical,Internal Medicine
Nephrology is a branch of medicine that specializes in kidney diseases.,Medical,Nephrology
Hematology is the study of human and animal organs and tissues in the laboratory and in medicine.,Medical,Hematology
Radiology is the study of radiation exposure. Radiology is the scientific discipline in which radiation is a source of radiation.,Medical,Radiology
Nephrology is the study of kidney function.,Medical,Nephrology
Hematology is the study of disease and hematology refers to the diagnosis and treatment of disease.,Medical,Hematology
Nephrology is the study of kidney disease. It is a field in which it has a wide range of clinical applications.,Medical,Nephrology
"Pediatrics in the Medical domain is the study of the health of children and adolescents, especially the elderly.",Medical,Pediatrics
General surgery is a medical specialty in the Medical domain.,Medical,General Surgery
"Dermatology is the study of the body and its organs in relation to the skin, hair, and the skin. Dermatology is a branch of dermatology that focuses on the diagnosis, treatment and prevention of conditions that lead to disease.",Medical,Dermatology
Orthopedics are the use of a device which helps maintain and repair the joint between joints.,Medical,Orthopedics
Hematology is a broad-based medical discipline of the immune system.,Medical,Hematology
The following is a list of emergency medicine specialties in the Medical domain.,Medical,Emergency Medicine
Neurology is the study of the nervous system and a branch of medicine that deals with the development and maintenance of neurons and their neurotransmitters.,Medical,Neurology
"Anesthesiology is the study of the treatment of diseases, illnesses and conditions of a particular organ, including anesthesia.",Medical,Anesthesiology
Emergency Medicine is the medical field of medicine and surgery.,Medical,Emergency Medicine
Neurology in the Medical domain:,Medical,Neurology
Neurology is a branch of medicine that deals with the development of neurological diseases.,Medical,Neurology
"Endocrinology in the Medical domain is a scientific field that focuses on endocrinology and the treatment of cancer. Endocrinology is a specialized field that deals with many different diseases including cancer, viral infections, blood clots, diabetes, cardiovascular disease, ovarian cancer, and the immune system. Endocrinology has been referred to as an endocrine disorder or ""neuritis"".",Medical,Endocrinology
Orthopedics refers to the use of a medical instrument to help people with injuries.,Medical,Orthopedics
"Orthopedics in the Medical domain is the academic discipline of medicine, and its branches include physical therapy, pathology, gynecology, and biomechanics.",Medical,Orthopedics
"Endocrinology (embstd.), a subfield of medicine, is the study of disease in the body, which primarily consists of endocrinology (embstd.).",Medical,Endocrinology
The field of nephrology is broadly defined as the study of kidney function and function.,Medical,Nephrology
General Surgery is a medical discipline and practice in which the surgery is done either in hospitals or on the private sector.,Medical,General Surgery
The following is the list of official academic publications on internal medicine.,Medical,Internal Medicine
"Reproductive medicine is the medical field that has a wide range of applications in many different fields including medicine, biotechnology, veterinary medicine, and the health care industry.",Medical,Reproductive Medicine
"In the United States, Oncology is a branch of medicine.",Medical,Oncology
"Dermatology is the study of skin, nails and hair follicles. Dermatology is the field of science that deals with skin, nail and skin care.",Medical,Dermatology
Infectious Diseases in the Medical Domain is a medical domain that encompasses all the diseases and illnesses that occur in an infected person's body.,Medical,Infectious Diseases
Aesthesiology is the study of a person’s body’s response to anesthesia.,Medical,Anesthesiology
Infectious Diseases in the Medical domain This is a list of infectious diseases that have been reported in England and Wales.,Medical,Infectious Diseases
Nephrology is the study of kidney function and organ function.,Medical,Nephrology
Medicinal Infectious Diseases in the Medical Domain :,Medical,Infectious Diseases
Neurology is the study of disease and disorders that affect the nervous system.,Medical,Neurology
"Neurology is the study of brain physiology, neuropsychology and neurobiology.",Medical,Neurology
"Radiology is a discipline of medicine. Its main fields are physics, medicine, and theoretical physics.",Medical,Radiology
Radiology is the study of the structure and function of matter and the mechanism of radiation.,Medical,Radiology
Pathology is the study of pathological diseases. Pathology is also the study of a variety of medical disciplines.,Medical,Pathology
Orthopedics is a medical discipline focusing on the treatment and prevention of injuries.,Medical,Orthopedics
Emergency medicine is the medical specialty of emergency medicine.,Medical,Emergency Medicine
Neurology is the field of medicine that deals with the diagnosis and treatment of diseases and disorders of the nervous system.,Medical,Neurology
"Cardiology is a branch of medicine that deals with the study of cardiology, the heart and the circulatory system.",Medical,Cardiology
Oncology in the Medical domain:,Medical,Oncology
"Oncology is a medical field, focused on the treatment of cancer. It refers to the practice of treating people with disease or anaesthetics.",Medical,Oncology
