,description,domain,sub_domain
884,"Management of tuberculosis with first-line drugs such as isoniazid, rifampin, ethambutol, and pyrazinamide.",Medical,Infectious Diseases
885,Use of implantable cardioverter-defibrillators (ICDs) for the prevention of sudden cardiac death in patients with arrhythmias.,Medical,Cardiology
886,Treatment of hypothyroidism with levothyroxine to normalize thyroid hormone levels.,Medical,Endocrinology
887,Use of immunotherapy with checkpoint inhibitors like pembrolizumab for advanced melanoma.,Medical,Oncology
888,Management of multiple sclerosis with disease-modifying therapies such as interferon beta and natalizumab.,Medical,Neurology
889,Neonatal jaundice treatment with phototherapy to reduce bilirubin levels and prevent kernicterus.,Medical,Pediatrics
890,Laparoscopic cholecystectomy for gallstone disease to relieve pain and prevent complications.,Medical,General Surgery
891,Management of gout with urate-lowering therapy like allopurinol and colchicine for acute flare-ups.,Medical,Internal Medicine
892,Hemodialysis for end-stage renal disease to remove waste products and excess fluid from the blood.,Medical,Nephrology
893,Iron supplementation for iron deficiency anemia to restore normal hemoglobin levels.,Medical,Hematology
894,Hip replacement surgery for osteoarthritis to improve joint function and reduce pain.,Medical,Orthopedics
895,Use of epinephrine for anaphylaxis to reverse severe allergic reactions and prevent shock.,Medical,Emergency Medicine
896,Epidural anesthesia for pain relief during labor and cesarean section procedures.,Medical,Anesthesiology
897,Frozen section biopsy for rapid intraoperative diagnosis of malignancies.,Medical,Pathology
898,Breast reconstruction after mastectomy using autologous tissue or implants.,Medical,Plastic Surgery
899,In vitro fertilization (IVF) for couples struggling with infertility to achieve pregnancy.,Medical,Reproductive Medicine
900,Cataract surgery with intraocular lens implantation to restore vision.,Medical,Ophthalmology
901,Cochlear implants for patients with profound hearing loss to improve auditory perception.,Medical,Otolaryngology
902,Management of chronic obstructive pulmonary disease (COPD) with bronchodilators and pulmonary rehabilitation.,Medical,Pulmonology
903,Use of biologics like adalimumab for moderate-to-severe psoriasis to reduce inflammation.,Medical,Dermatology
904,"Migraine prophylaxis with beta-blockers, anticonvulsants, and lifestyle modifications.",Medical,Neurology
905,Coronary artery bypass grafting (CABG) for severe coronary artery disease to restore blood flow to the heart.,Medical,Cardiology
906,Radiation therapy for head and neck cancer to shrink tumors and prevent recurrence.,Medical,Oncology
907,Management of peptic ulcer disease with proton pump inhibitors and Helicobacter pylori eradication therapy.,Medical,Internal Medicine
908,Management of croup with corticosteroids and nebulized epinephrine for airway swelling.,Medical,Pediatrics
909,Treatment of Cushing's syndrome with adrenalectomy or medical therapy to lower cortisol levels.,Medical,Endocrinology
910,Rotator cuff repair for shoulder injuries to restore function and reduce pain.,Medical,Orthopedics
911,Scar revision surgery to improve cosmetic appearance and minimize scar tissue.,Medical,Plastic Surgery
912,Kidney stone management with lithotripsy to break up stones and facilitate passage.,Medical,Nephrology
913,Total intravenous anesthesia (TIVA) for controlled sedation without inhaled agents.,Medical,Anesthesiology
914,Management of sepsis with broad-spectrum antibiotics and fluid resuscitation to prevent organ failure.,Medical,Emergency Medicine
915,Platelet transfusion for thrombocytopenia to prevent bleeding complications.,Medical,Hematology
916,Deep brain stimulation for Parkinson’s disease to improve motor function and reduce tremors.,Medical,Neurology
917,Percutaneous coronary intervention (PCI) with stenting for acute myocardial infarction.,Medical,Cardiology
918,Hormone therapy for prostate cancer with androgen deprivation therapy.,Medical,Oncology
919,Liquid biopsy for detecting circulating tumor DNA in cancer patients.,Medical,Pathology
920,Laser trabeculoplasty for glaucoma to reduce intraocular pressure.,Medical,Ophthalmology
921,Sinus surgery for chronic sinusitis to improve drainage and reduce infections.,Medical,Otolaryngology
922,Lung transplantation for end-stage pulmonary fibrosis to restore respiratory function.,Medical,Pulmonology
923,Cryotherapy for actinic keratosis to prevent progression to squamous cell carcinoma.,Medical,Dermatology
924,Ovulation induction with clomiphene citrate for women with anovulatory infertility.,Medical,Reproductive Medicine
925,Management of Kawasaki disease with intravenous immunoglobulin (IVIG) and aspirin.,Medical,Pediatrics
926,Management of acromegaly with growth hormone receptor antagonists or surgical resection of pituitary tumors.,Medical,Endocrinology
927,Treatment of scoliosis with bracing or spinal fusion surgery.,Medical,Orthopedics
928,Liposuction for body contouring and fat reduction.,Medical,Plastic Surgery
929,Management of acute kidney injury with supportive care and avoidance of nephrotoxic drugs.,Medical,Nephrology
930,Regional nerve blocks for post-operative pain management.,Medical,Anesthesiology
931,Cardiopulmonary resuscitation (CPR) and defibrillation for cardiac arrest.,Medical,Emergency Medicine
932,Management of hemophilia with factor replacement therapy.,Medical,Hematology
933,Treatment of epilepsy with antiepileptic drugs and vagus nerve stimulation.,Medical,Neurology
934,Heart transplant for end-stage heart failure to improve survival and quality of life.,Medical,Cardiology
935,Bone marrow transplant for leukemia and lymphoma patients requiring hematopoietic stem cell replacement.,Medical,Oncology
936,Flow cytometry for immunophenotyping of hematologic malignancies.,Medical,Pathology
937,Management of age-related macular degeneration with anti-VEGF injections.,Medical,Ophthalmology
938,Tonsillectomy for recurrent tonsillitis or obstructive sleep apnea.,Medical,Otolaryngology
939,Pulmonary function testing for diagnosing and monitoring respiratory diseases.,Medical,Pulmonology
940,Mohs micrographic surgery for precise removal of skin cancer.,Medical,Dermatology
941,Egg freezing for fertility preservation in women undergoing cancer treatment.,Medical,Reproductive Medicine
942,Newborn screening for metabolic disorders to enable early intervention.,Medical,Pediatrics
943,Diagnosis of Addison's disease with ACTH stimulation test and cortisol replacement therapy.,Medical,Endocrinology
944,"Treatment of carpal tunnel syndrome with splinting, corticosteroids, or surgical release.",Medical,Orthopedics
945,Botox injections for cosmetic wrinkle reduction and migraine management.,Medical,Plastic Surgery
946,Peritoneal dialysis for patients with chronic kidney disease requiring renal replacement therapy.,Medical,Nephrology
947,Spinal anesthesia for lower limb and abdominal surgeries.,Medical,Anesthesiology
948,Management of drug overdose with naloxone for opioid toxicity.,Medical,Emergency Medicine
949,Stem cell transplantation for aplastic anemia and bone marrow failure syndromes.,Medical,Hematology
950,Management of Guillain-Barré syndrome with plasmapheresis or intravenous immunoglobulin.,Medical,Neurology
951,Cardiac rehabilitation for post-myocardial infarction patients to improve cardiovascular health.,Medical,Cardiology
952,Palliative care for terminal cancer patients to enhance quality of life.,Medical,Oncology
953,Genetic testing for BRCA mutations in individuals at high risk for breast and ovarian cancer.,Medical,Pathology
954,Refractive surgery such as LASIK for correction of myopia and astigmatism.,Medical,Ophthalmology
955,Speech therapy for patients with vocal cord paralysis or dysphonia.,Medical,Otolaryngology
956,Treatment of obstructive sleep apnea with continuous positive airway pressure (CPAP) therapy.,Medical,Pulmonology
957,Topical retinoids for acne treatment to reduce inflammation and prevent scarring.,Medical,Dermatology
958,Gestational surrogacy for couples unable to carry a pregnancy to term.,Medical,Reproductive Medicine
959,Management of bronchiolitis in infants with supportive care and oxygen therapy if needed.,Medical,Pediatrics
960,"Management of hyperthyroidism with antithyroid drugs, radioactive iodine, or surgery.",Medical,Endocrinology
961,"Treatment of plantar fasciitis with physical therapy, orthotics, and corticosteroid injections.",Medical,Orthopedics
962,Microsurgery for limb replantation after traumatic amputation.,Medical,Plastic Surgery
963,Management of nephrotic syndrome with corticosteroids and dietary modifications.,Medical,Nephrology
964,Conscious sedation for minor surgical and dental procedures.,Medical,Anesthesiology
965,Post-exposure prophylaxis (PEP) for HIV prevention after potential exposure.,Medical,Infectious Diseases
966,Transcatheter aortic valve replacement (TAVR) for severe aortic stenosis in high-risk patients.,Medical,Cardiology
967,Insulin pump therapy for type 1 diabetes to optimize glucose control.,Medical,Endocrinology
968,Brachytherapy for localized prostate cancer to deliver targeted radiation.,Medical,Oncology
969,Botulinum toxin injections for spasticity in cerebral palsy patients.,Medical,Neurology
970,Management of neonatal sepsis with broad-spectrum antibiotics and supportive care.,Medical,Pediatrics
971,Colectomy for ulcerative colitis in patients with severe disease.,Medical,General Surgery
972,Helicobacter pylori eradication with triple therapy for peptic ulcer disease.,Medical,Internal Medicine
973,Renal biopsy for diagnosing glomerulonephritis and kidney disorders.,Medical,Nephrology
974,Erythropoietin therapy for anemia in chronic kidney disease patients.,Medical,Hematology
975,External fixation for complex fractures and limb stabilization.,Medical,Orthopedics
976,Advanced cardiac life support (ACLS) for managing cardiac arrest.,Medical,Emergency Medicine
977,Nitrous oxide sedation for minor procedures and dental treatments.,Medical,Anesthesiology
978,Cytogenetic analysis for identifying chromosomal abnormalities in leukemia.,Medical,Pathology
979,Fat grafting for facial rejuvenation and reconstructive purposes.,Medical,Plastic Surgery
980,Embryo freezing for preserving fertility in patients undergoing chemotherapy.,Medical,Reproductive Medicine
981,Vitrectomy for retinal detachment to restore vision.,Medical,Ophthalmology
982,Balloon sinuplasty for chronic sinusitis to improve sinus drainage.,Medical,Otolaryngology
983,Long-term oxygen therapy for chronic hypoxemia in COPD patients.,Medical,Pulmonology
984,Psoralen plus ultraviolet A (PUVA) therapy for severe psoriasis.,Medical,Dermatology
985,Thrombectomy for acute ischemic stroke to restore blood flow.,Medical,Neurology
986,Left ventricular assist device (LVAD) implantation for end-stage heart failure.,Medical,Cardiology
987,Photodynamic therapy for superficial esophageal cancer.,Medical,Oncology
988,Colchicine therapy for acute pericarditis to reduce inflammation.,Medical,Internal Medicine
989,Management of febrile seizures in children with antipyretics and observation.,Medical,Pediatrics
990,Thyroidectomy for thyroid cancer or large goiters causing compression symptoms.,Medical,Endocrinology
991,Meniscus repair surgery for knee injuries to preserve joint function.,Medical,Orthopedics
992,Breast reduction surgery for macromastia and associated discomfort.,Medical,Plastic Surgery
993,Sodium bicarbonate therapy for metabolic acidosis in chronic kidney disease.,Medical,Nephrology
994,Propofol sedation for short outpatient procedures.,Medical,Anesthesiology
995,Crush injury management with aggressive fluid resuscitation and monitoring for rhabdomyolysis.,Medical,Emergency Medicine
996,Hydroxyurea therapy for sickle cell disease to reduce vaso-occlusive crises.,Medical,Hematology
997,Transcranial magnetic stimulation for treatment-resistant depression.,Medical,Neurology
998,Ablation therapy for atrial fibrillation to restore normal heart rhythm.,Medical,Cardiology
999,Targeted therapy with BRAF inhibitors for metastatic melanoma.,Medical,Oncology
1000,Fine-needle aspiration biopsy for evaluating thyroid nodules.,Medical,Pathology
1001,Corneal transplantation for severe keratoconus to restore vision.,Medical,Ophthalmology
1002,Myringotomy with tympanostomy tube placement for recurrent ear infections.,Medical,Otolaryngology
1003,Endobronchial ultrasound-guided biopsy for diagnosing lung cancer.,Medical,Pulmonology
1004,Isotretinoin therapy for severe acne resistant to conventional treatments.,Medical,Dermatology
1005,Intrauterine insemination (IUI) for mild male factor infertility.,Medical,Reproductive Medicine
1006,Neonatal hypoglycemia management with glucose infusion and monitoring.,Medical,Pediatrics
1007,Gonadotropin therapy for male hypogonadism to restore testosterone levels.,Medical,Endocrinology
1008,Kyphoplasty for vertebral compression fractures to reduce pain and restore height.,Medical,Orthopedics
1009,Hand reconstruction surgery for congenital deformities or trauma.,Medical,Plastic Surgery
1010,"Hyperkalemia management with calcium gluconate, insulin, and dialysis if necessary.",Medical,Nephrology
1011,Dexmedetomidine for sedation in critically ill patients.,Medical,Anesthesiology
1012,Heat stroke treatment with aggressive cooling and fluid resuscitation.,Medical,Emergency Medicine
1013,Warfarin anticoagulation for deep vein thrombosis prevention.,Medical,Hematology
1014,Management of essential tremor with propranolol or deep brain stimulation.,Medical,Neurology
1015,Management of peripartum cardiomyopathy with beta-blockers and diuretics.,Medical,Cardiology
1016,CAR-T cell therapy for relapsed or refractory lymphomas.,Medical,Oncology
1017,Frozen section examination for intraoperative margin assessment.,Medical,Pathology
1018,Management of diabetic retinopathy with laser photocoagulation.,Medical,Ophthalmology
1019,Surgical correction of deviated nasal septum with septoplasty.,Medical,Otolaryngology
1020,Pleurodesis for recurrent pleural effusions in cancer patients.,Medical,Pulmonology
1021,Topical corticosteroids for atopic dermatitis flare-ups.,Medical,Dermatology
1022,Sperm retrieval techniques for men with azoospermia undergoing IVF.,Medical,Reproductive Medicine
1023,Management of congenital hypothyroidism with lifelong levothyroxine.,Medical,Pediatrics
1024,Management of pheochromocytoma with alpha-blockers before surgery.,Medical,Endocrinology
1025,Arthroscopic debridement for osteochondral defects in joints.,Medical,Orthopedics
1026,Abdominoplasty for cosmetic and reconstructive purposes.,Medical,Plastic Surgery
1027,Loop diuretics for volume overload in chronic kidney disease.,Medical,Nephrology
1028,Lidocaine infusion for chronic pain management.,Medical,Anesthesiology
1029,Management of drowning victims with oxygen therapy and ventilation support.,Medical,Emergency Medicine
1030,Splenectomy for hereditary spherocytosis to prevent hemolytic crises.,Medical,Hematology
1031,Management of trigeminal neuralgia with carbamazepine or microvascular decompression.,Medical,Neurology
1032,Use of anticoagulation in atrial fibrillation to reduce stroke risk.,Medical,Cardiology
1033,Hedgehog pathway inhibitors for basal cell carcinoma.,Medical,Oncology
1034,Electron microscopy for diagnosing renal diseases and viral infections.,Medical,Pathology
1035,Management of keratitis with antimicrobial eye drops and supportive care.,Medical,Ophthalmology
1036,Surgical repair of choanal atresia in newborns with nasal obstruction.,Medical,Otolaryngology
1037,Mediastinoscopy for staging lung cancer and diagnosing mediastinal masses.,Medical,Pulmonology
1038,Patch testing for diagnosing contact dermatitis and allergic skin reactions.,Medical,Dermatology
1039,Hormonal therapy for transgender individuals undergoing gender transition.,Medical,Reproductive Medicine
1040,"Management of pediatric obesity with diet, exercise, and behavioral therapy.",Medical,Pediatrics
1041,Management of hyperaldosteronism with aldosterone antagonists or adrenalectomy.,Medical,Endocrinology
1042,Joint aspiration for diagnosing and relieving pain from inflammatory arthritis.,Medical,Orthopedics
1043,Tissue expansion for reconstructive surgery following burns or trauma.,Medical,Plastic Surgery
1044,Anemia management in chronic kidney disease with erythropoiesis-stimulating agents.,Medical,Nephrology
1045,Neuraxial analgesia for post-operative pain control.,Medical,Anesthesiology
1046,Carbon monoxide poisoning treatment with hyperbaric oxygen therapy.,Medical,Emergency Medicine
1047,Desmopressin for bleeding disorders like von Willebrand disease.,Medical,Hematology
1048,Tic disorder management with behavioral therapy and dopamine antagonists.,Medical,Neurology
1049,Use of statins for primary and secondary prevention of cardiovascular disease.,Medical,Cardiology
1050,Checkpoint inhibitors for non-small cell lung cancer with high PD-L1 expression.,Medical,Oncology
1051,Tumor marker testing for monitoring treatment response in cancer patients.,Medical,Pathology
1052,Intravitreal steroid injections for macular edema secondary to diabetes.,Medical,Ophthalmology
1053,Voice therapy for vocal cord nodules and hoarseness.,Medical,Otolaryngology
1054,Use of antifibrotic agents for idiopathic pulmonary fibrosis.,Medical,Pulmonology
1055,Phototherapy for vitiligo to stimulate repigmentation of affected areas.,Medical,Dermatology
